Sample	Sex	DJ	5S	rDNA	rDNA18S	Chr13_PHR	Chr13_PHR_arm1	Chr13_PHR_arm2
102-00547-01	XX	10.16	180.13	340.88	294.25	3.77	3.83	3.77
102-00566-02	XY	10.00	163.76	391.23	383.08	3.64	3.76	3.58
102-00566-03	XY	9.94	300.47	452.33	432.02	3.66	3.83	3.66
102-00570-01	XX	9.94	166.08	261.47	253.05	3.76	3.94	3.82
102-00576-03	XX	10.04	147.11	219.55	206.67	3.86	4.00	3.81
102-00581-01	XX	10.09	133.31	372.88	355.06	3.86	3.95	3.90
102-00584-01	XX	10.16	125.04	379.62	346.77	3.79	3.91	3.79
102-00585-01	XX	10.00	134.88	374.72	344.36	3.83	4.00	3.77
102-00604-01	XX	10.12	153.44	256.46	249.46	3.87	3.91	3.87
102-00604-03	XY	10.00	131.08	213.56	178.95	3.82	4.00	3.73
102-00606-24	XX	9.14	127.19	325.71	303.95	3.85	3.90	3.95
102-00609-03	XY	10.08	108.29	391.91	378.83	3.91	4.08	3.87
102-00613-01	XX	10.22	188.57	452.82	391.40	3.95	4.13	3.82
102-00617-22	XX	10.04	103.32	292.82	234.39	3.91	3.95	3.95
102-00624-02	XY	10.04	103.83	260.12	212.91	3.87	4.04	3.75
102-00624-46	XY	10.05	123.77	270.57	257.94	3.88	4.05	3.77
102-00627-02	XY	10.17	139.06	311.87	307.42	3.82	3.95	3.78
102-00630-01	XX	10.09	194.83	362.09	282.01	3.84	4.00	3.80
102-00630-02	XY	10.11	124.96	293.53	271.15	3.76	3.88	3.69
102-00630-03	XY	10.08	191.82	316.40	289.62	3.88	4.08	3.72
102-00638-02	XY	10.16	93.33	420.66	390.41	3.88	3.94	4.00
102-00643-02	XY	10.22	91.13	507.77	483.02	3.77	3.83	4.00
102-00644-24	XX	10.05	165.15	325.74	285.61	3.89	4.00	3.84
102-00654-02	XY	10.04	134.58	322.04	232.30	3.78	4.04	3.73
102-00669-22	XY	10.03	180.71	292.49	236.28	3.84	4.03	3.81
102-00674-03	XX	10.16	116.94	354.27	277.75	3.77	3.77	4.00
102-00682-02	XY	10.00	150.08	239.83	209.55	3.87	4.00	3.83
102-00707-02	XY	10.08	149.63	337.48	258.57	3.87	4.00	4.00
102-00707-03	XY	10.04	168.33	243.23	176.66	3.66	3.66	3.95
102-00718-03	XY	10.00	74.58	272.69	227.02	3.91	4.08	3.86
102-00724-02	XY	10.13	106.04	430.00	360.20	3.95	4.00	4.09
102-00727-03	XY	10.08	129.15	357.13	265.13	3.86	3.91	4.00
102-00734-03	XY	8.97	113.16	239.51	160.86	3.72	3.83	3.78
102-00738-01	XX	10.14	158.33	397.52	282.33	3.85	3.95	3.85
102-00741-03	XY	10.08	177.81	247.73	242.26	3.79	3.87	3.83
102-00742-23	XX	10.12	145.69	213.81	187.42	3.93	4.00	3.93
102-00754-02	XX	11.16	108.13	287.20	251.67	3.90	4.09	3.81
102-00776-03	XY	9.92	114.40	267.83	206.29	3.92	4.07	4.00
102-00781-02	XY	10.04	143.76	268.76	215.80	3.90	3.95	4.00
102-00784-03	XY	10.08	171.06	368.56	313.28	3.84	3.92	3.92
102-00785-02	XX	10.10	128.59	349.29	303.94	3.78	3.78	3.94
102-00788-03	XY	10.00	72.27	258.43	244.74	4.03	4.07	4.07
102-00790-02	XX	10.00	130.21	450.21	350.50	3.95	4.04	3.95
102-00795-03	XY	10.17	142.64	336.82	351.82	3.88	4.11	3.82
102-00795-22	XY	10.10	142.05	388.70	384.72	3.72	3.94	3.62
102-00819-02	XX	10.09	141.07	229.41	243.41	4.00	4.09	4.09
102-00822-01	XX	10.10	119.52	403.15	412.00	3.84	3.94	3.78
102-00838-02	XX	10.10	133.50	505.36	495.00	3.84	3.89	3.94
102-00841-01	XY	9.91	180.54	279.20	232.93	3.75	3.87	3.75
102-00841-03	XY	10.26	81.78	281.84	247.81	3.84	3.94	3.84
102-00843-01	XY	10.05	157.94	266.88	261.26	3.82	3.88	4.05
102-00843-03	XY	10.00	129.02	244.51	249.20	3.74	3.84	3.89
102-00846-01	XX	10.10	172.15	369.20	323.05	3.85	3.95	3.95
102-00860-01	XY	10.08	120.68	338.89	329.23	3.82	3.95	3.87
102-00875-01	XX	10.09	101.28	206.90	168.40	3.95	4.04	3.95
102-00879-02	XX	10.00	152.76	447.30	475.47	3.80	4.14	3.52
102-00883-02	XX	10.15	180.25	292.50	287.07	3.80	3.95	3.90
102-00886-02	XX	10.31	131.42	262.73	288.15	3.89	4.00	3.89
102-00895-02	XX	10.19	105.41	477.90	511.87	3.80	3.90	3.90
102-00910-02	XX	10.04	200.78	333.41	350.19	3.85	3.90	4.00
102-00939-02	XX	10.00	153.28	352.64	315.23	3.71	3.80	3.85
102-00942-02	XX	10.22	138.22	254.88	267.55	3.77	3.88	3.94
102-00943-03	XY	10.10	132.38	340.35	364.28	3.84	4.10	3.74
102-00945-02	XX	10.00	96.05	332.82	378.12	3.69	3.89	3.58
102-00947-02	XX	10.09	152.52	394.00	407.30	3.80	3.90	3.90
102-00949-02	XX	12.00	161.88	360.13	378.11	3.86	3.95	3.95
102-00952-01	XY	10.14	146.07	245.46	265.04	3.85	4.00	3.90
102-00958-03	XX	10.10	188.55	383.90	387.65	3.80	3.80	4.00
102-00971-01	XX	10.05	139.36	310.73	244.31	3.68	3.84	3.78
102-01001-03	XY	10.10	172.51	438.51	382.35	3.94	4.00	4.05
102-01007-03	XY	10.11	289.11	349.88	267.44	4.00	4.11	4.05
102-01009-03	XY	10.09	185.56	399.51	326.17	3.90	4.00	3.95
102-01010-01	XX	10.00	137.10	373.91	294.20	3.75	3.83	3.79
102-01013-22	XY	10.04	114.73	361.55	334.53	3.91	4.08	3.91
102-01028-02	XX	10.10	184.37	288.24	253.87	3.95	4.12	4.00
102-01028-03	XY	10.08	127.29	378.04	291.62	3.79	3.95	3.79
102-01028-24	XX	10.04	133.04	234.12	183.23	3.74	3.82	3.91
102-01028-25	XX	9.95	131.84	353.77	293.08	3.77	3.91	3.77
102-01034-22	XY	10.04	171.86	461.00	424.93	3.81	3.95	3.68
102-01035-01	XY	10.12	144.31	389.66	307.12	3.87	4.04	3.83
102-01047-03	XY	9.95	195.65	190.04	159.11	3.81	3.95	3.81
102-01055-26	XX	10.04	142.02	419.95	256.69	3.91	4.00	4.00
102-01057-01	XY	10.11	161.70	433.13	362.43	3.88	3.96	4.00
102-01059-02	XX	10.20	111.40	410.60	315.40	3.80	3.90	3.90
102-01060-01	XX	10.00	149.70	345.00	277.72	4.00	4.13	4.00
102-01063-02	XX	10.04	118.65	463.34	361.40	3.75	3.75	4.00
102-01063-03	XY	10.00	156.08	298.00	243.34	3.82	4.00	3.78
102-01065-01	XX	10.13	145.56	401.30	356.45	3.91	4.00	4.00
102-01074-02	XX	10.04	143.95	364.50	269.95	3.81	3.95	3.81
102-01086-01	XX	10.00	218.21	376.37	330.70	3.67	3.78	3.67
102-01086-02	XY	10.10	120.90	454.25	366.70	3.85	4.00	3.80
102-01086-03	XY	10.10	151.42	423.63	346.26	3.78	3.94	3.78
102-01090-01	XY	10.05	176.28	366.80	374.97	3.94	4.05	3.82
102-01101-02	XX	10.16	135.46	290.77	256.14	3.83	3.83	4.00
102-01132-03	XY	10.00	109.17	276.30	300.89	3.94	4.10	4.05
102-01141-02	XX	10.11	94.00	459.64	461.00	3.76	3.94	3.82
102-01160-01	XY	10.23	138.05	377.29	381.82	3.82	4.00	3.82
102-01166-03	XY	10.09	213.74	318.88	332.88	3.76	3.90	3.72
102-01167-01	XX	9.95	130.61	314.47	328.90	3.71	3.80	3.76
102-01175-03	XY	10.08	131.88	454.80	475.82	3.77	3.82	3.91
102-01183-01	XY	10.10	158.82	297.93	322.02	3.91	4.00	4.00
102-01183-03	XY	10.00	152.04	341.95	386.23	3.76	3.95	3.71
102-01186-02	XX	10.23	136.85	350.23	390.45	3.80	3.90	3.71
102-01190-02	XX	10.22	163.72	368.95	419.27	3.81	3.95	3.90
102-01191-02	XX	10.12	168.57	458.97	443.46	3.91	4.00	3.91
102-01196-01	XX	10.18	144.39	246.79	267.79	3.76	3.86	3.86
102-01218-02	XY	10.00	208.27	483.18	399.89	3.83	4.00	3.78
102-01240-02	XX	10.27	132.61	456.50	360.41	3.83	3.88	4.00
102-01245-03	XY	10.27	164.52	368.22	420.90	3.95	4.09	3.86
102-01265-02	XX	10.08	193.84	364.57	327.60	3.73	3.82	3.73
102-01294-02	XX	10.17	135.62	334.86	294.19	3.75	3.90	3.70
102-01294-03	XY	9.05	179.58	463.00	410.05	3.66	3.83	3.66
102-01305-01	XX	10.05	197.42	467.23	414.15	3.63	3.73	3.68
102-01340-03	XY	10.17	135.47	352.04	288.60	4.00	4.13	3.95
102-01344-01	XX	10.27	135.72	248.60	156.20	3.62	3.67	3.90
102-01353-01	XX	8.88	126.60	296.18	189.69	3.67	3.76	3.76
102-01355-02	XY	10.04	178.08	503.48	474.22	3.88	4.04	3.92
102-01358-01	XY	10.13	145.52	361.69	333.28	3.91	4.04	3.82
102-01365-01	XX	10.12	115.22	479.81	385.75	3.87	3.91	4.04
102-01378-03	XY	10.10	179.34	294.14	250.78	3.75	3.87	3.71
102-01397-02	XX	10.04	192.27	432.60	414.51	3.90	4.04	3.95
102-01401-03	XY	9.94	199.42	332.45	338.14	3.77	4.05	3.65
102-01419-02	XX	10.13	176.31	382.13	357.33	3.73	3.73	4.00
102-01448-34	XY	11.04	107.45	275.68	270.36	3.77	3.81	4.00
102-01480-02	XX	10.13	153.02	420.69	433.06	3.76	3.86	4.00
102-01543-03a	XX	10.09	179.44	274.27	284.90	3.86	3.95	3.81
102-02014-03	XX	10.08	169.04	348.62	338.06	3.77	3.95	3.73
102-02027-03	XY	10.20	142.72	368.75	396.40	3.75	3.85	3.65
102-02035-02	XX	9.95	130.57	382.47	392.66	3.71	3.80	3.85
102-02040-03	XY	10.12	214.36	220.36	226.72	3.87	4.00	3.81
102-07001-03	XY	10.80	148.95	677.66	717.47	3.80	4.00	3.76
102-07004-01	XY	9.91	105.59	418.93	392.89	3.70	3.87	3.74
102-07015-01	XX	10.15	152.65	452.35	447.67	3.80	3.95	3.70
102-07023-03	XY	10.00	170.04	527.04	520.86	3.77	3.86	3.81
102-07025-03	XY	9.90	150.76	270.47	268.35	3.71	3.80	3.80
102-07033-01	XX	10.74	120.74	392.20	407.65	3.86	4.04	3.76
102-07053-02	XX	10.00	167.81	289.83	316.25	3.86	4.09	3.72
102-07055-02	XY	10.26	186.10	514.73	558.39	3.78	4.10	3.68
102-07075-03	XY	10.79	151.55	216.41	217.65	3.90	4.04	3.90
102-08011-03	XY	10.00	142.62	339.02	297.54	3.75	3.91	3.79
102-08018-01	XY	10.60	122.23	359.58	387.67	3.86	4.00	3.90
102-08050-02	XY	9.94	128.80	379.60	396.05	3.71	3.71	3.82
102-08061-02	XX	10.04	103.67	313.87	350.40	3.71	3.87	3.67
102-08077-01	XX	10.08	124.85	346.89	366.78	3.78	3.91	3.87
102-08081-02	XX	10.00	56.40	326.28	339.34	3.75	3.91	3.79
102-08082-01	XX	10.08	121.61	317.89	339.53	3.78	3.87	3.82
102-08086-03	XY	10.67	148.13	394.37	426.90	3.73	3.88	3.73
102-08094-02	XY	9.91	181.23	359.53	379.04	3.87	4.12	3.70
102-08099-01	XX	10.27	124.44	571.38	601.77	3.77	4.00	3.61
102-08099-03b	XX	10.11	137.97	301.77	347.02	3.82	3.94	3.88
102-08104-03	XY	10.17	85.37	314.65	296.91	3.77	3.94	3.77
102-08107-02	XX	10.19	223.42	334.09	336.64	3.90	4.00	4.00
102-08114-01	XY	10.05	124.94	199.10	206.36	4.00	4.21	3.94
102-08162-01	XY	9.94	173.42	343.84	301.21	3.73	3.73	3.89
102-08167-03	XY	10.12	142.32	370.56	362.14	3.36	3.20	3.88
102-08174-02	XY	10.08	131.63	390.73	418.87	3.91	4.08	3.91
102-08242-02	XX	10.09	179.90	327.95	336.45	3.85	4.00	3.90
